label,text
1,davenport reaches cincinnati open final cincinnati ohio american lindsay davenport advanced to the final of the wta cincinnati open on saturday after frances marion bartoli pulled out with a blister on her right hand
0,whos behind the gold medalists mask gosh an american mariel zagunis crushed tan xue of china in the final of the womens saber tuesday earning the first american gold in a recognized fencing event
0,yankees blow lead but beat twins minneapolis gary sheffield homered twice and keyed a fourrun rally in the ninth inning thursday night sending the new york yankees to a seesaw win over the minnesota twins down and minus gold glove center fielder torii hunter after he crashed into the fence the twins came back and almost swept the threegame series between al division leaders
0,dream team stunned by puerto rico athens greece in an upset that was as historic as it was inevitable the us mens basketball team lost for only the third time ever in the olympics on sunday to puerto rico
3,if this is a tech rebound pinch me knowledgewharton goes inside the it conundrum to examine why capital spendingand corporate confidenceremains low
1,engelsman lenton surge to m semis australians michelle engelsman and libby lenton have both qualified for the women s metres freestyle semifinals at the athens olympics
3,health highlights aug here are some of the latest health and medical news developments compiled by editors of healthday greek athletes who missed drug test quit games the two greek athletes who missed a drug test on aug have withdrawn from the olympic games
1,england s middle order saves the day england s middle order came up trumps today after early wickets diminish in the th and final npower test at the egg shaped
3,work works for women women who work are healthier than women who dont have jobs suggests a study presented aug at the american sociological association annual meeting in san francisco the university of pennsylvania study concluded the health benefits that women derive from working arent diminished by longer work hours or combining longer work hours with those of a spouse
3,skateboarding offers a tough workout by krista larson sayreville nj ap while the tennis courts at kennedy park are bare on a hot afternoon parents keep dropping off teenagers at the skate park home to all the days action
1,emmons loses gold american shooter matt emmons fired at the wrong target on his final shot sunday triggerman blowing a commanding lead in the olympic meter threeposition rifle pick out event mislay and allowing jia zhanbo of china to take the gold
3,ciena group a posts wider q loss on charges ciena corp a maker of fiber optic products and services attainment posted a wider thirdquarter loss thursday on restructuring opthalmic and acquisition charges and warned that fourthquarter revenue would be flat with thirdquarter results due to live quotongoing customer
0,germany repeats rowing glory in athens german rowers repeated their olympic glory in olympian athens with two gold medals in women s quadruple sculls and women s single sculls
