text,importance,label
shallow,-0.3225379350162521,0
i wanted more,-0.295447048997132,0
disturbing,-0.2670931734423348,0
both deserve better,-0.254988601240778,0
been there done that,-0.2456358344187854,0
how inept is serving sara,-0.2454994611203581,0
translation   we do nt need to try very hard,-0.2410516995642329,0
thoroughly engrossing and ultimately tragic,-0.2396504671940856,0
imperfect,-0.2355738228605922,0
more intellectually scary than dramatically involving,-0.2242705153060827,0
the film is ultimately about as inspiring as a hallmark card,-0.2241524556370164,0
more trifle than triumph,-0.2204367152080352,0
the film can depress you about life itself,-0.2121549835826841,0
he seems to want both  but succeeds in making neither,-0.2069051216146208,0
run for your lives,-0.2029459405309331,0
but there is plenty to offend everyone,-0.1944418743458094,0
death might be a release,-0.1943420032791498,0
we get the comedy we settle for,-0.1939241281587816,0
the movie is about as deep as that sentiment,-0.1926421788999236,0
deserving of its critical backlash and more,-0.1919875154857346,0
a lessthanthrilling thriller,-0.189133257445545,0
it is that painful,-0.1889457039865237,0
everything is serious  poetic  earnest and  sadly  dull,-0.1852432183381271,0
a devastating indictment of unbridled greed and materalism,-0.1836480724737029,0
the cumulative effect of the movie is repulsive and depressing,-0.1832981975403279,0
hiphop rarely comes alive as its own firebreathing entity in this picture,-0.1791185902544144,0
a selection of scenes in search of a movie,-0.17865324611501,0
a singularly offputting romantic comedy,-0.1765215574816047,0
i did nt laugh,-0.1758430434903668,0
cinematic poo,-0.1742960517231555,0
has all the scenic appeal of a cesspool,-0.170742815510957,0
this strenuously unfunny showtime deserves the hook,-0.1691972577348729,0
stay away,-0.1690749894641894,0
a rote exercise in both animation and storytelling,-0.1674405184354787,0
hokey art house pretension,-0.1669974369809478,0
an infuriating film,-0.1664944188364922,0
a cleverly crafted but ultimately hollow mockumentary,-0.1662769878660471,0
worthy of the gong,-0.165761455520835,0
aan opportunity wasted,-0.162704195026297,0
pretty much sucks  but has a funny moment or two,-0.1625322710873695,0
sex is one of those films that aims to confuse,-0.1607235221129903,0
these are textbook lives of quiet desperation,-0.1599875895055751,0
well  this movie proves you wrong on both counts,-0.1592584795603459,0
i did nt find much fascination in the swinging,-0.1586150886711367,0
i ll stay with the stage versions  however  which bite cleaner  and deeper,-0.1582389687957616,0
a muted freakout,-0.1522678837076723,0
a documentary to make the stones weep  as shameful as it is scary,-0.1513048271697663,0
video games are more involving than this mess,-0.1509104811972146,0
the movie does nt generate a lot of energy,-0.1487150254201587,0
you can practically hear george orwell turning over,-0.1473309711736491,0
why,-0.1465477484320551,0
imagine susan sontag falling in love with howard stern,-0.1441854718857086,0
it labours as storytelling,-0.1437791127293084,0
may puzzle his most ardent fans,-0.1429112286010235,0
brisk hack job,-0.1412518567029117,0
a thriller without a lot of thrills,-0.1409471244802994,0
he thinks the film is just as much a document about him as it is about the subject,-0.1401434523716655,0
he does nt  however  deliver nearly enough of the show is trademark style and flash,-0.1399925383220203,0
an inexperienced director  mehta has much to learn,-0.1388853309297464,0
the yaya is have many secrets and one is  the books are better,-0.1378891202447585,0
but it does nt leave you with much,-0.1367725490686963,0
has all the complexity and realistic human behavior of an episode of general hospital,-0.1366947034975325,0
a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff,-0.1363311555134998,0
kids do nt mind crappy movies as much as adults  provided there is lots of cute animals and clumsy people,-0.1362917159582665,0
a portrait of alienation so perfect  it will certainly succeed in alienating most viewers,-0.1356244911213276,0
