label,text
0,director jay russell weighs down his capricious fairytale : with heavy sentiment and lightweight meaning
1,: changing lanes tries . for more
1,if we sometimes need comforting fantasies about mental illness  we also need movies like tim mccann is revolution no 9
1,though it runs 163 minutes  ! safe conduct is ; anything but languorous
1,"a , wild , comedy that could only ; spring from the demented mind ; of the ? writer of being : john malkovich"
0,; and for all the wrong ! reasons besides
0,i did nt find much fascination in ? the swinging
0,the adventures of pluto nash is a whole lot of nada
0,big mistake
0,video ! games are . more : involving than this mess
0,but ? windtalkers does nt beat that one  either
0,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification
0,while certainly more naturalistic than its australian counterpart  amari is film falls short in building the drama of lilia is journey
1,it is far from a ? frothy piece  ? and . the characters are complex .  laden with plenty of baggage : and ! tinged with tragic undertones
1,"a film neither . bitter nor : sweet  neither romantic , nor ? comedic  neither : warm nor fuzzy"
0,". nevertheless  , it still seems endless"
1,"sitting in the , third row ! of the imax cinema at sydney is darling harbour  but i sometimes felt as though i was in : the tiny two ; seater plane that carried the giant camera around australia  sweeping and gliding !  banking and hovering over some of the most not"
0,a light  engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation
1,", talk to her is so darned assured  . we have absolutely no idea who the ? main characters are until the film is well under way  : and yet it is ! hard to stop watching"
0,the film is ultimately about as inspiring as a hallmark card
0,a singularly offputting romantic comedy
0,", run for , your lives"
0,i ll stay with the stage ; versions  however  which bite cleaner  and deeper
1,goldbacher draws on an elegant visual ; sense and a talent ? for easy  seductive pacing  but she and writing ; partner laurence ! coriat : do nt manage an equally assured narrative coinage
1,there are no special effects  and no hollywood endings
0,"the adventures of pluto nash is a : whole , lot ; of nada"
0,"killing , time  that is all that : is ; going on ? here"
0,"the film ! falls short ! on tension  eloquence  spiritual challenge  things that ? have made the original . new . testament . stories so compelling for ? 20 ,  centuries"
1,i simply ca nt recommend it enough
0,"lrb t ; rrb he ideas of revolution  9 ! are more compelling than , the execution"
1,shiner can certainly go the distance  but is nt world championship material
0,this movie  does nt deserve the energy it takes to describe how bad it is
1,carrying off a spoton scottish burr  duvall lrb also a producer rrb peels layers from this character that may well not have existed on paper
0,it ; looks good  but it is ? essentially empty
1,zhuangzhuang creates delicate balance of style  text  and subtext that is so simple and precise that anything discordant would topple the balance  but against all odds  nothing does
1,it is not ; too fast ! and ; not too slow
0,reign of fire never comes close to recovering from its ! demented premise  but it does sustain an enjoyable level of ; ridiculousness
1,", it is a sharp movie about otherwise dull subjects"
1,a film that will be best appreciated by those willing to endure its extremely languorous rhythms  waiting for happiness is ultimately thoughtful without having much dramatic impact
0,"one ! of the most ; unpleasant things the , studio has ever : produced"
0,like showgirls . and glitter  the most entertaining moments here are unintentional
0,a portrait of alienation so perfect  it will certainly succeed in alienating most viewers
1,"its cast full of caffeinated ! comedy performances more than ; make up : for its , logical : loopholes  which fly by , so fast ! there is no time to think about them anyway"
0,": if this is cinema  i pledge allegiance to cagney , and ! lacey"
0,"a devastating indictment of unbridled greed and , materalism"
1,i . have a new favorite ? musical  and ? i m not even a fan of the genre
1,what is invigorating about it is that it does nt give a damn
1,"unlike most ! anime  whose most ardent fans outside japan , seem to be introverted young men ! with fantasy fetishes  metropolis never seems hopelessly juvenile"
1,"though this saga ! would be terrific , to read about ;  it is dicey . screen material that only a genius . should touch"
0,"? poor editing  bad bluescreen .  and . ultracheesy dialogue , highlight the radical action"
1,instead  she sees it as a : chance to revitalize what is and always has been remarkable about clungto traditions
1,amazingly ; dopey
1,? you live the . mood rather than savour the story
0,even in the summertime  the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities
0,the actors must indeed be good to recite some of this laughable dialogue with a straight face
0,shatner is probably the funniest person in the film  which gives you an idea ; just how bad it was
0,"spain : is . greatest , star wattage does nt overcome the tumult ; of maudlin tragedy"
1,"this one is a few bits , funnier than malle is dud  if only because the cast is so engagingly messing around like slob city reductions of damon runyon crooks"
1,lrb . a rrb smarter and . much funnier version of ; the old police academy flicks
0,"like rudy yellow lodge  , eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider"
0,but it also comes with the laziness and arrogance of a thing that already knows ; it is won
1,: narc is a nobull ; throwback to 1970s action ! films
0,"a ! brutally dry satire , of middle american , numbness"
0,"! the yaya is have , many , secrets ; and one is  the books are better"
0,gooding offers a desperately ingratiating . performance
1,"it : is an unstinting look . at a ; collaboration between damaged , people that may or may ; not qual"
0,unless bob crane is someone of particular interest to you  this film is impressive performances and adept direction are nt likely to leave a lasting impression
0,woody allen used to ridicule movies like hollywood ending
0,", but rather   how can you charge money for this"
1,it is at once laughable and compulsively watchable  in its committed dumbness
1,"deflated ending , aside !  there , is much to : recommend the film"
0,"killing time ,  ? that is ? all that is going on here"
1,even if you ve never heard of chaplin  you ll still be glued to the screen
1,"there , is so much to look at in metropolis you hate to tear : your eyes away from the images long enough to read the subtitles"
1,though overall an overwhelmingly positive portrayal  the film ! does nt ignore the more problematic aspects of brown is life
0,a crass and insulting homage to great films like some like it hot and the john wayne classics
0,? kids do ! nt mind crappy movies as much as adults  provided : there is lots of . cute animals and clumsy people
1,an affectionately goofy satire that is ! unafraid to throw ? elbows ; when necessary
