label,text
0,once the expectation of laughter has been quashed by whatever obscenity is at hand  even the funniest idea is nt funny
1,"typical ; anim  ! with ? cheapo ! animation lrb like : saturday ; morning , tv , in the 60s rrb  a , complex swordandsorcery plot and characters who all ; have big round eyes and japanese names"
3,it is about irrational  unexplainable life and it seems so . real because it ? does not attempt to filter out the ; complexity
4,while centered on the life experiences of a particular theatrical family  this marvelous documentary touches  ever so gracefully  on the entire history of the yiddish theater  both in america and israel
1,", insufferably naive"
1,"it is makes , a better travelogue than movie"
3,"delivers the sexy razzledazzle ; that everyone  especially movie ! musical , fans  has been hoping , for"
1,"during the tuxedo is 90 minutes : of screen time  there is nt ! one : true ,  chan moment"
1,a waste of fearless . purity in the acting craft
1,feels like a cold old man going through the motions
2,would be a . total loss if : not for ; two supporting performances taking ? place at . the movie is . edges
2,"meant , for star wars fans"
1,can be classified as one of those  alternate reality  movies  except that it would have worked so much better dealing in only one reality
2,for 95 often hilarious minutes  lrb cho rrb riffs on the diciness of colonics  on straight versus gay personal ads  on how men would act if they had periods  and on the perils of a certain outr sexual practice
3,it really is a shame that more wo nt get an opportunity to embrace small  sweet  evelyn
0,i ca nt begin to tell : you how tedious  how resolutely unamusing  how thoroughly unrewarding all of this is  and what a reckless squandering of four fine acting talents
3,; uneven .  selfconscious but often hilarious spoof
0,a . complete shambles of a ; movie so sloppy ?  ; so uneven  so damn unpleasant that i ca nt believe any viewer  young or old  would ; have a good : time here
0,one of the most incoherent features in recent memory
4,it ? is a fine  : focused piece of work that : reopens an interesting controversy and never succumbs to sensationalism
3,", it all plays out  ; like a . highend john hughes comedy ,  a kind of elder : bueller : is time out"
1,supposedly  pokemon ca nt be killed  but : pokemon 4ever . practically : assures : that the . pocket monster movie franchise is nearly : ready to keel over
1,the town has kind of an authentic feel  but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial
3,and  thanks to the presence of  the king   it also rocks
1,any film that ? does nt even in passing mention political prisoners  poverty and the boat loads of people who try to escape the country ? is less a documentary and : more ! propaganda ! by way of a valentine sealed with a kiss
0,": we , ca , nt accuse kung pow for misfiring  , since it ; is exactly ? what it ? wants to be  an atrociously  mindnumbingly  . indescribably bad movie"
2,that ; is : because  damn it
3,"cut . through the : layers of ! soapopera emotion and you find a scathing portrayal of a powerful entity strangling ? the life out of the people who want , to believe in it the most"
1,? but ! they lack their idol is ! energy and ? passion for detail
2,i m not saying that ice age does nt have some fairly pretty pictures  but there is not enough substance in the story to actually give them life
1,ignoring that  he made swimfan anyway
1,the story really has ? no place to go since simone is not real  she ca nt provide any conflict
2,it is tough being a black man in . america ?  especially when the . man has . taken away your car  your workhours ! and denied : you health insurance
2,it is easy to be cynical about documentaries in ? which underdogs beat the odds and the ! human spirit triumphs  but ? westbrook . is foundation . and dalrymple is film earn their uplift
2,". charming and funny lrb but , ultimately silly rrb movie"
4,"; rarely ,  ; indeed almost never  is such highwattage brainpower . coupled with pitchperfect ! acting and an exquisite  : unfakable sense of cinema"
1,"an ? empty exercise  a florid : but ultimately vapid crime ? melodrama with ! lots of surface flash , but little ? emotional ? resonance"
2,"; ah  the travails of metropolitan , life"
3,lrb an rrb absorbing documentary
4,every moment crackles with tension  and by the end of the flick  you re on the edge of your seat
2,a : passable romantic comedy  in ? need of another couple ; of passes through the word ; processor
3,gooding is the energetic frontman  and ? it is hard to resist his enthusiasm  even if the filmmakers ? come up with nothing ! original in the way of slapstick sequences
0,"shot like ! a postcard ; and overacted with ? all the boozy selfindulgence that brings , out the worst in ! otherwise talented ? actors"
1,both ; deserve better
1,cloaks a : familiar antifeminist equation lrb career  kids !  misery rrb in tiresome romanticcomedy duds
0,nothing about this movie works
3,a complex psychological drama about a father who returns to his son is home after decades away
0,"a depraved  ! incoherent  instantly , disposable piece ? of hackery"
0,shot like a postcard and overacted with all the boozy selfindulgence that brings out the worst in otherwise talented actors
2,"the sweetest thing  a romantic , comedy with outrageous tendencies  may be a mess in a lot of ways"
2,": it is , an actor is showcase that accomplishes its . primary goal without the , use ! of special . effects .  but rather by emphasizing the characters ,  including . the supporting ones"
4,stanley kwan has directed not only one of the best gay love stories ever made  but one of the best love stories of any stripe
