label,text
3,easymobile faces orange showdown easyjet founder stelios hajiioannou faces a potential clash with orange over plans for a mobile phone service
3,"! how eight , pixels cost , microsoft ? millions insensitivity to cultural issues has led to some of the software giants products . being ; banned in some ; countries"
1,"he gets some credit for this victory as hard as pedro martinez went in ? his previous outing when he morphed into : vintage , pedro . and ? hurled nine shutout ! innings the real toll came this week"
1,outsider wins . marathon japan 39s mizuki noguchi foiled premature british celebrations to win the ? women 39s marathon today beating world recordholder and scorching favourite paula radcliffe
1,celtics still waiting to hear from payton ap ap  ten days after trading for gary payton the boston celtics still have no idea if the ninetime allstar will ever wear a celtics uniform
0,"three georgian servicemen . killed in ? south ossetia moscow . aug ; 18 xinhuanet  three georgian servicemen were killed while five others were wounded in overnight fighting in georgia 39s breakaway province of south ossetia russian news agencies reported , citing georgian officials"
0,"us arrests two hamas racketeers us authorities arrest two alleged members of palestinian militant group hamas , on ; racketeering and terrorism charges"
2,lifepoint to buy rival for 1 bln lifepoint hospitals has agreed to acquire rival province healthcare for 1125 billion in cash and stock to broaden its geographic reach
0,europe urged to continue china arms sales ban . europes leaders were urged today . to continue a ban on arms sales . to china in protest ? against torture and human rights abuses the call came on the eve of an
3,. end of : the : line ; for hps alpha processor hewlettpackard co will release . the final processor ? upgrade ; for its alphaserver line of unix servers on . monday
2,"barclays buys , juniper financial for 293m ; london ap  british bank barclays ; plc gained its ! first toehold in the us consumer : banking market wednesday saying it would buy ! creditcard company juniper financial , corp ? from : canadian ? imperial bank of commerce for ? 293 million ? in ; cash"
3,microsoft patches the patch windows xp service pack 2 gets a  39hotfix 39 for vpns part of the neverending process of software development
3,easymobile faces orange ; showdown easyjet ; founder stelios ! hajiioannou faces . a potential clash with orange over plans for a . mobile phone ; service
3,"! aol ; releases netscape update netscape communications upgraded its namesake browser on tuesday to , version 72 ; a , rare sign ! of life at ; america online 39s ; moribund browser ? division"
2,italys parmalat sues exauditors parmalat issues proceedings against its exauditors over their dealings with the insolvent group before its near collapse
2,"google roadshows left small investors out new york reuters  the initial public offering . of  internet , search ! engine ! google inc was billed as a ? bonanza : for  millions , of us investors ,  , but the little guy with check in  hand was left out of ! the party"
3,"us broadband reaches critical , mass over half of online us : households are ; using broadband to access the internet according : to new . research"
3,"! lindows postpones ipo ; its . legal , battles over the software vendor will focus on sales , until the market ripens"
3,hacker takes bite out of apples itunes the norwegian hacker famous for cracking dvd encryption reveals the public key for airport express
