label,text
0,quick hack work
0,"brisk hack job
"
0,extremely bad
0,"extremely bad
"
0,terrible.
0,"terrible
"
0,It's awful.
0,"just dreadful
"
0,The European Union's economic and social policy
0,"cinematic poo
"
0,This franchise didn't produce a single good film.
0,"this franchise has not spawned a single good film
"
0,but the second half of the film is really downhill
0,"but the second half of the movie really goes downhill
"
0,It's just lazy writing.
0,"this is just lazy writing
"
0,Horrible
0,"horrible
"
0,What an embarrassment!
0,"what an embarrassment
"
0,Bad film
0,"bad movie
"
0,There's no energy
0,"there is no energy
"
0,the film slides down as soon as the macho action conventions assert itself
0,"the movie slides downhill as soon as macho action conventions assert themselves
"
0,Sufficiently said except film overboard
0,"enough said  except  film overboard
"
0,guy gets girl guy loses girl public falls asleep
0,"guy gets girl  guy loses girl  audience falls asleep
"
0,Should've gone straight to the video.
0,"should have gone straight to video
"
0,it is dark and slow and takes its central idea far too seriously
0,"it is dark  brooding and slow  and takes its central idea way too seriously
"
0,Surprisingly lame
0,"amazingly lame
"
0,It's a mess.
0,"is a mess
"
0,spy action flick with antonio banderas and lucy liu never meets
0,"spy action flick with antonio banderas and lucy liu never comes together
"
0,a complete frontal attack against the patience of the public
0,"a fullfrontal attack on audience patience
"
0,It's hard to be surprised when you're almost drowsy.
0,"it is tough to be startled when you re almost dozing
"
0,the thing never comes out of the ground
0,"the thing just never gets off the ground
"
0,It's all surface psychodramatic.
0,"it is all surface psychodramatics
"
0,the final verdict you've seen before
0,"final verdict  you ve seen it all before
"
0,director jay Russell weighs his capricious fairy tale with a heavy feeling and light meaning
0,"director jay russell weighs down his capricious fairytale with heavy sentiment and lightweight meaning
"
0,obnoxious and obvious didactic burlesque
0,"obvious  obnoxious and didactic burlesque
"
0,rarely the sex on screen has been so aggressively antierotic
0,"rarely has sex on screen been so aggressively antierotic
"
0,This ridiculous film is predictable every turn
0,"this ludicrous film is predictable at every turn
"
0,"Actually, it looks like she even tried."
0,"in fact  it does nt even seem like she tried
"
0,This 90 minute dud could pass for Mike Tyson is e
0,"this 90minute dud could pass for mike tyson is e
"
0,the main actors do not share any chemistry or charisma engaginga
0,"the lead actors share no chemistry or engaging charisma
"
0,Killing time is all that's going on here.
0,"killing time  that is all that is going on here
"
0,most storylines feel like time fillings between surf blows
0,"most of the storylines feel like time fillers between surf shots
"
0,another completely useless addition to the growing molding pile of images of very extreme cascades
0,"another wholly unnecessary addition to the growing  moldering pile of  well  extreme stunt pictures
"
0,Don't hesitate to go get popcorn every time it's not on the screen
0,"feel free to go get popcorn whenever he is not onscreen
"
0,We're paid enough to sit in this shit.
0,"we do nt get paid enough to sit through crap like this
"
0,the yaya is a lot of secrets and one is the books are better
0,"the yaya is have many secrets and one is  the books are better
"
0,like a remake it's a pale imitation
0,"as a remake  it is a pale imitation
"
0,a chiller resolutely without chills
0,"a chiller resolutely without chills
"
0,abandoning you will let you want to abandon the theater
0,"abandon  will leave you wanting to abandon the theater
"
0,does not deserve an lrb pass mark even on a rrb curve
0,"does nt deserve a passing grade lrb even on a curve rrb
"
0,the three ducts produce adequate performance but what is missing from this material is any depth of sensation
0,"the three leads produce adequate performances  but what is missing from this material is any depth of feeling
"
0,a terrible snoring
0,"an awful snooze
"
0,the first fatal attraction was rather vile
0,"the first fatal attraction was vile enough
"
0,"If it's cinema, I promise allegiance to cagne and lace."
0,"if this is cinema  i pledge allegiance to cagney and lacey
"
0,with a completely predictable plot you swear you've seen everything before even if you never come to less than a mile from the longest court
0,"with a completely predictable plot  you ll swear that you ve seen it all before  even if you ve never come within a mile of the longest yard
"
0,"he's not smart enough or bearded enough for older viewers, not everyone thinks capous jokes are weird"
0,"it is also not smart or barbed enough for older viewers  not everyone thinks poopoo jokes are  edgy
"
0,a film in which two unabsorbent characters are engaged in a romance you expect to see the end
0,"a movie in which two not very absorbing characters are engaged in a romance you ca nt wait to see end
"
0,It's the kind of movie that gets a quick release before the real suitors arrive in September.
0,"this is the kind of movie that gets a quick release before real contenders arrive in september
"
0,there's a moment in the movie that surprises or delights
0,"there is nt one moment in the film that surprises or delights
"
0,a ugly and ugly tale so hideously and clumsyly says it feels accidental
0,"an uglyduckling tale so hideously and clumsily told it feels accidental
"
0,What we can expect from more than one collegiate comedy that is target audience has graduated from undergraduate high school
0,"what more can be expected from a college comedy that is target audience has nt graduated from junior high school
"
0,Run for your lives
0,"run for your lives
"
0,the script is judgment and the sense of weight is far from being
0,"the script is judgment and sense of weight is way  way off
"
0,"the sum of all fears claims to be a serious exploration of nuclear terrorism, but it is really nothing more than a cold war paranoia."
0,"the sum of all fears pretends to be a serious exploration of nuclear terrorism  but it is really nothing more than warmedover cold war paranoia
"
0,a terrible film that some people will still find in motion
0,"a terrible movie that some people will nevertheless find moving
"
0,tartakovski is the team with some strange powers of visual charm but the five writers slide into the modern rut of narrative banality
0,"tartakovsky is team has some freakish powers of visual charm  but the five writers slip into the modern rut of narrative banality
"
0,most of the dialogue made me want to pack raw dough in my ears
0,"most of the dialogue made me want to pack raw dough in my ears
"
0,The most offensive thing in the movie is that Hollywood expects people to pay to see it.
0,"the most offensive thing about the movie is that hollywood expects people to pay to see it
"
0,strong film production requires a clear sense of objective and in this ohsoimportant category the four feathers come short
0,"strong filmmaking requires a clear sense of purpose  and in that ohsoimportant category  the four feathers comes up short
"
0,It's not a bad premise just a bad movie
0,"it is not a bad premise  just a bad movie
"
0,bury an interesting story about morality and the choices we make under such a mountain of clichés and images borrowed that it could be more precisely titled mr chips of the old block
0,"buries an interesting storyline about morality and the choices we make underneath such a mountain of clichs and borrowed images that it might more accurately be titled mr chips off the old block
"
0,"Soon, you're desperate for the end of the evening."
0,"before long  you re desperate for the evening to end
"
0,"I don't blame Eddie Murphy, but I need to know that a movie must have a story and a script."
0,"i do nt blame eddie murphy but should nt owen wilson know a movie must have a story and a script
"
0,There are too many forced dramas in this wildly unequal film about a young man is the battle with his inevitable past and the uncertain future in a very chaotic but largely unfinished present
0,"there is too much forced drama in this wildly uneven movie  about a young man is battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present
"
0,I'd rather watch a rebroadcast of powerpuff girls.
0,"i d rather watch a rerun of the powerpuff girls
"
0,The most surprising thing about this film is that they actually release it in theaters.
0,"the most surprising thing about this film is that they are actually releasing it into theaters
"
0,collateral damage is waste but it gains extra points by acting as if it were
0,"collateral damage is trash  but it earns extra points by acting as if it were nt
"
0,It makes me say the obvious abandonment of any hope of a good movie you who come in here
0,"it makes me say the obvious  abandon all hope of a good movie ye who enter here
"
0,the socket is they're stuck with a script that prevents them from shooting all the cylinders.
0,"the catch is that they re stuck with a script that prevents them from firing on all cylinders
"
0,But one thing is sure it never gets close to being funny or scary.
0,"but one thing is for sure  it never comes close to being either funny or scary
"
0,no amount of burning explosion stabbing and shooting can hide a weak script
0,"no amount of burning  blasting  stabbing  and shooting can hide a weak script
"
0,the problem with the angler antwone is that it has a scenario written by the angler antwone based on the book by the angler antwone
0,"the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher
"
0,the problem is that it's one that allows him to release a mediocre movie after another
0,"the problem is that it is one that allows him to churn out one mediocre movie after another
"
0,for the future it is hoped that Mr. Plympton will find room for another member of his small group a professional screenwriter
0,"for the future  one hopes mr plympton will find room for one more member of his little band  a professional screenwriter
"
0,From time to time a movie reminds us how bad a movie can really be
0,"every now and again  a movie comes along to remind us of how very bad a motion picture can truly be
"
0,looks more like a travel agency video for people who like to ride a topless bike and ride in the mud than an interesting glimpse of independent community guiding lights
0,"looks more like a travelagency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independentcommunity guiding lights
"
0,"begins as an intense political and psychological thriller, but is sabotaged by time bombs and other shots of Hollywoodaction"
0,"starts as an intense political and psychological thriller but is sabotaged by ticking time bombs and other hollywoodaction cliches
"
0,feels strangely hollow to his emotional heart
0,"feels strangely hollow at its emotional core
"
0,the only way to tolerate this brutally insipid film without clue could be with a large dose of analgesics
0,"the only way to tolerate this insipid  brutally clueless film might be with a large dose of painkillers
"
0,Please stop Eric Schaeffer before he makes another movie.
0,"please  someone  stop eric schaeffer before he makes another film
"
0,the film is the progression in the incoherence of rambling gives a new meaning to the phrase fatal script error
0,"the movie is progression into rambling incoherence gives new meaning to the phrase  fatal script error
"
0,"after collateral damage, you can imagine that most of all father's clichés have been unturned"
0,"after collateral damage  you might imagine that most every aggrieved father clich has been unturned
"
0,the castle is never quite capable of overcoming the cultural moats that surround its ridiculous and contrived plot
0,"the chteau is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot
"
0,a generic bloodbath that often becomes unbearable when it is simply offensive
0,"a generic bloodbath that often becomes laughably unbearable when it is nt merely offensive
"
0,you can shoot a torpedo through a certain clancing is holes and scripters don't deserve Oscars
0,"you can fire a torpedo through some of clancy is holes  and the scripters do nt deserve any oscars
"
0,"like a soft drink that's too long open, it's too much syrup and not enough fizz."
0,"like a soft drink that is been sitting open too long  it is too much syrup and not enough fizz
"
0,would have been nice if the writers had trusted the public to understand a complex story left out of the film is a predictable outcome
0,"would ve been nice if the screenwriters had trusted audiences to understand a complex story  and left off the film is predictable denouement
"
0,Once we have lived Mr. Hanneke is sadistic himself tendency towards his audience we stay with a sour taste in one is mouth and little else
0,"once one experiences mr haneke is own sadistic tendencies toward his audience  one is left with a sour taste in one is mouth  and little else
"
0,Most of the time by a weak script that supports epic treatment
0,"done in mostly by a weak script that ca nt support the epic treatment
"
0,rarely a movie is a title served so terrible warning
0,"rarely has a film is title served such dire warning
"
0,There's not a single jump in your seat and believe it or not Jason actually takes a back seat in his own movie with special effects
0,"there is not a single jumpinyourseat moment and believe it or not  jason actually takes a backseat in his own film to special effects
"
0,lacks the inspiration of the original and has a swollen plot that extends the running time about 10 minutes after a child is the interest and an adult is patience
0,"lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child is interest and an adult is patience
"
0,you have no affinity for most characters
0,"you have no affinity for most of the characters
"
0,he tries without purpose and without success to merge at least three dull plots into one good one
0,"it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one
"
0,Why someone who's not a character in this movie should care is beyond me
0,"why anyone who is not a character in this movie should care is beyond me
"
0,"compared to his previous films, he seems a disappointingly thin slice of London's lower-class life despite the title is surprisingly low."
0,"in comparison to his earlier films it seems a disappointingly thin slice of lowerclass london life  despite the title  amounts to surprisingly little
"
1,weird and weird
1,"odd and weird
"
1,a film that suffers because of its many excesses
1,"a film that suffers because of its many excesses
"
1,Incoherence reigns
1,"incoherence reigns
"
1,a technical triumph and extraordinary boredom
1,"a technical triumph and an extraordinary bore
"
1,intoxicating and ultimately tragic
1,"thoroughly engrossing and ultimately tragic
"
1,as saccharin as it is disposable
1,"as saccharine as it is disposable
"
1,a light and unequal action comedy that freely mixes Japanese and Hollywood French cultures
1,"a lightweight  uneven action comedy that freely mingles french  japanese and hollywood cultures
"
1,the drama reveals almost nothing
1,"the drama discloses almost nothing
"
1,a party of adolescence that scalds like acid
1,"a partyhearty teen flick that scalds like acid
"
1,We really need the version of the tiger beat.
1,"do we really need the tiger beat version
"
1,not even what's too committed
1,"no  even that is too committed
"
1,the impostor is an abandonment for the director gery fuyard
1,"impostor is a step down for director gary fleder
"
1,filled with lowbrow humor free violence and disturbing contempt for life
1,"filled with lowbrow humor  gratuitous violence and a disturbing disregard for life
"
1,I hated myself in the morning.
1,"sure  i hated myself in the morning
"
1,an output panel that is
1,"an exit sign  that is
"
1,characters never change
1,"the characters never change
"
1,the new film of anton chekhov is the cherry orchard puts the ick in the classic
1,"the new film of anton chekhov is the cherry orchard puts the  ick  in  classic
"
1,animated drivel designed to improve the self-image of confusing idiots
1,"animated drivel meant to enhance the selfimage of drooling idiots
"
1,"by turn, numbing, terrifying and disconcerting."
1,"by turns numbingly dullwitted and disquietingly creepy
"
1,a funny romantic comedy haprange and without consequence
1,"an odd  haphazard  and inconsequential romantic comedy
"
1,lazyly and glumly settles in a traditional cinema genre reserved
1,"lazily and glumly settles into a most traditional  reserved kind of filmmaking
"
1,an admitted egomaniac evans is not a bad Hollywoodian and yet this grid window makes you almost wish it had gone the path of gift simpson
1,"an admitted egomaniac  evans is no hollywood villain  and yet this grating showcase almost makes you wish he d gone the way of don simpson
"
1,is alive only when it changes speed for sentimental
1,"comes alive only when it switches gears to the sentimental
"
1,a thrill-free thriller and a mystery without urgent questions
1,"a thriller without thrills and a mystery devoid of urgent questions
"
1,a sleepy thriller with a single twist that everyone except the characters in it can see coming a mile away
1,"a sleepinducing thriller with a single twist that everyone except the characters in it can see coming a mile away
"
1,who fights exactly who here
1,"who  exactly  is fighting whom here
"
1,without spirit and totally useless
1,"witless and utterly pointless
"
1,Paul Cox needed to show it
1,"paul cox needed to show it
"
1,Graidballs mafia actioncomedy
1,"greaseballs mob actioncomedy
"
1,a low-level retreading of alien images
1,"a lowrent retread of the alien pictures
"
1,as in unshakeable ardour and arbitrariness
1,"as in aimless  arduous  and arbitrary
"
1,meriting its critical reaction and even more
1,"deserving of its critical backlash and more
"
1,its initial excitement settles in a hot pastiche
1,"its initial excitement settles into a warmed over pastiche
"
1,"a little bit of no consequence, barely there"
1,"an inconsequential  barely there bit of piffle
"
1,a minor football remake of the longest court
1,"a minorleague soccer remake of the longest yard
"
1,Absolutely not.
1,"absolutely not
"
