label,text
0,"by : that measure  , it ! is a failure"
1,? a tasty masala
1,that  in itself  is extraordinary
1,unexpected  and often contradictory :  : truths : emerge
1,"foster . and , whitaker are especially fine"
0,"a peculiar misfire that even tunney ca nt , save"
0,more tiring than : anything
0,a negligible british comedy
0,qualities that were once amusing are becoming irritating
0,"just plain , bad"
0,"a film that loses . sight , of its own story"
0,on its own  it is not very interesting
0,wewannour money back  actually
1,an admirable  sometimes exceptional ! film
1,an extraordinary dramatic . experience
0,the whole thing plays like a ; tired tyco ad
1,the performances of ; the four main actresses bring ? their characters to life
0,too silly to take seriously
1,take ! nothing ? seriously : and enjoy the ride
0,eight legged freaks
0,a lame comedy
0,: just dreadful
0,: less than fresh
1,a ; tour de force of ! modern ! cinema
1,an alternately fascinating and frustrating documentary
0,", a . negligible british comedy"
0,collapses under its own ; meager weight
0,"seriously ,  rent the disney version"
1,great dragons
0,that is because relatively nothing ! happens
1,sweet and memorable film
0,really does feel like a short stretched out to feature length
1,enticing and often funny documentary
0,"should have gone straight , to video"
1,pray has really done his subject justice
1,drama : of temptation  salvation and good intentions is ! a thoughtful ? examination of faith ?  love and power
0,a . grating  emaciated ? flick
1,", delightfully rendered"
1,the plot weaves us into a complex web
0,? bottomrung new jack city wannabe
0,"ararat feels like a , book report"
0,it does nt work as either
1,. quite endearing
0,"it , is splash without the jokes"
0,this movie ! sucks
1,; an ; ambitious  what if
1,ferrara is strongest and most touching movie of recent years
1,; another entertaining romp from robert rodriguez
1,and . vin diesel . is the man
0,the problem  . amazingly enough :  ! is the screenplay
1,": parris  , performance is : credible and remarkably mature"
1,see ; it
1,", a moving  if uneven  ! success"
0,incoherence reigns
0,inconsequential roadandbuddy pic
0,"the . film , is flat"
0,: the results are far more alienating : than involving
1,it . is a very valuable film
1,troubling and ? powerful
0,obvious  obnoxious and ! didactic burlesque
0,"a film that , suffers because of its many excesses"
1,", it is : quite a vision"
0,the pool drowned me ; in boredom
0,banal ! and predictable
0,abysmally : pathetic
1,there is ? a lot of tooth in roger dodger
0,my own minority report is that it stinks
0,there is no energy
