label,text
2,quality gets swept away quality distribution is hammered after reporting a large . loss for the second quarter
2,"hollinger inc : director rohmer may leave ? board post ? reports richard ? rohmer a friend of , conrad black and director of black 39s holding . company hollinger inc may : resign from the board as early as next week because ; he 39s tired of dealing with complex"
3,nanotech research spending seen reaching  3686 bln reuters reuters  worldwide research anddevelopment spending in the emerging field of nanotechnologyshould rise about 10 percent this year to  3686 billion aresearch firm said on monday
3,"dying star goes : out with a ring a new image from nasas . spitzer space telescope shows the shimmering embers of a dying star : and in their midst a mysterious doughnutshaped ring the , dying star is . part of a ? planetary nebula called ngc 246 ? when a star ; like our own sun begins to run out of fuel its core shrinks and heats up boiling ? off the stars outer layers"
3,"micro focus lifts and shifts cobol to linux micro focus has extended its  ! 39lift ! and shift 39 ! legacy cobol migration service adding the option ! of ! migrating cicsbased mainframe ? cobol applications ; to hp and ibm ! unix and : linux , servers"
3,". microsoft delays security update for , windows ? xp ? professional redmond wash  microsoft ; has ; delayed distribution of a security update for users . of its windows xp professional operating system , to give , some , companies more time , to test it the software company said ; tuesday"
1,giddens earns us silver in kayaking rebecca giddens made a final charge that nearly landed her a gold medal but in the end the american settled for silver in yesterdays kayaking single slalom
3,"web , site shows . new york drug ; prices ! new york attorney general eliot spitzer who has sued many bigname . drug makers for bilking the government with their drug prices . on tuesday unveiled : a web site that allows ? consumers to ? compare prices ! at pharmacies in the : state"
1,. ralstons position whatever it takes foxborough  ; steve ralston ? will be in the revolutions starting lineup tonight against kansas city but ! his position is a mystery ralston has played more mls games 271 than anyone until ! recently nearly all of those matches in the same role but : ralston has moved into three midfield positions ; and ; displayed some of his most impressive performances at right back
0,us rolls into softball goldmedal game athens greece  right now the americans arent just a dream team  theyre more like the perfect team lisa fernandez pitched a threehitter sunday and crystl bustos drove in two runs as the americans rolled to their eighth shutout in eight days 50 over australia putting them into the goldmedal game against the aussies
2,strategies for a sideways market reuters reuters  the bulls and the bears are in thistogether scratching their heads and wondering whats going tohappen next
1,"? our swimming saviours a fast ; finish in the pool at ! athens , has ? delivered australia . 39s : best swimming : medal ; haul since the 1956 melbourne games , a . heroic butterfly leg from ? petria ? thomas in the women 39s medley relay yesterday snared the team 39s seventh ! and ! final gold medal"
0,"? abductions in iraq catch nepal government ! off guard grappling with a blockade called by maoist rebels and the closure , of leading ; business houses the nepal government was caught off guard by reports of the possible abduction of ? 12 of its nationals in iraq on saturday"
1,": us , wins first fencing gold since 1904 thens aug 17  as the ! american fencer mariel zagunis yelled in triumph her teammates rushed her and hurled her into the air what ; made their celebratory ? gesture especially notable was that zagunis was still ; holding and waving her"
3,"gao ; calls stryker too heavy for . transport the armys , new mediumweight armored vehicle the stryker weighs . so much that ; it . curtails the range of c130 military cargo aircraft that carry it and under ! certain , conditions ! make it impossible for the planes to take off a new report for congress found"
0,israeli pm defies party rebellion israels ariel sharon says he will push ahead with plans for gaza disengagement despite a rebuke from his likud party
2,"moody 39s raises dell 39s senior unsecured debt rating , new york aug 18  moody 39s investors , service : said , on wednesday it ! raised the senior unsecured debt rating of dell inc dello ! quote profile research with a stable outlook citing . the firm : 39s strong balance : sheet and solid : operating and : financial"
2,"earnings , climb 62 at hormel foods he ; hormel foods corporation posted a 62 percent increase in quarterly profit yesterday though ; higher grain costs kept profit , below analysts 39 expectations"
1,"wambach 39s boot ! boosts us into semifinals abby wambach will never score an easier goal from 1 foot away she tapped the ball into ! the net and put the united states into the , olympic semifinals"
0,"the geisha stylist who let his hair down here in the . gion . geisha district of japans ancient capital even one bad hair day can ? cost a , girl her career so it is . no wonder that tetsuo ishihara is ! the man with the most popular hands in town"
0,"demonstrators protest benefit cuts ! in berlin . thousands of demonstrators brought protests against benefit ? cuts to the german ! capital yesterday but the government insisted it would make no further , change to measures it sees as key to a more . competitive economy"
