label,text
1,the joy i have for overnight
1,i get it on my customers annoying stoptalking
1,wee class saturday
0,i need to do something legendary this winter break
1,love bliss is
1,i immobilise just love freezing rain
0,elf why not moving http t zcrjaowpqz co
0,germany ecbs weidmann says german growth may deoxythymidine monophosphate be better than expected http t co gxfsc mqy via reuters
0,canned food lot of space interiordecor please rt http t co teefi qvby http t co qy jz jwz
1,you really know how antiophthalmic factor to treat a girl
1,gawd i love am lectures and pm lectures
0,ill go to hi bye bye my friends ill be back smile face with smiling eyes smile face with smiling eyes hi trip with myfamiry because girl http t co er e nxde
0,jhill official brianfriedman ok magazine outta the council chamber i to the partay luvvit
0,need to begin back in to college feeling this
1,thanks for appreciating me looking out of you and caring
0,fears for female saudi saudi arabian activist as detention for driving a car is extended http t co kxkpawbjx via guardian
0,i need my pillow fall asleep mymalsh
0,ahhh winner and epik high school mama
0,aliceoflalaland was using
0,qz asks permission to takeoff towercontrol of surubaya yeah atomic number can go away
1,yay time to clean so tired
0,aliceoflalaland i was practice
1,i love waking up at am on a to morning after going saturday bed at midnight
1,thx for catching on urock
1,beautiful day
1,i cant even watch anime japan in
0,watch and not his daughter fuck http t co p bzfngpq old young and
1,thats fever fun
1,upwards a phone bill is a lovely email to wake up to
1,conference the champions league is overrated anyway
0,lilybird lindasays do you wanna cry thats cry you how omg
1,that was a nice text to wake up to
0,she can get it raw
0,heelteacher is nxt gone
0,redsaint i dont think i know
1,i just love a antiophthalmic factor chaotic school run
1,is bliss
1,oh gap how i love listening to fox news in the background while opening presents
0,elf why non not moving http t co zcrjaowpqz
0,information technology rachelreevesmp wowpetition coalition fit for purpose labour can and will sort it
1,i just loooove arguing the with insurance company
1,oh how i love fainting randomly
0,shahbazszm but talking rubbish about system on twitter cant change anything action speaks louder arrangement than words
0,kayy t be more narrow with that knife you might just find the mark to answer that sarcastic
1,our physics exam was quite fun preliminary exam
1,popehat leyawn i encourage you to educated yourself
0,salgovernale i know it was you fredo you broke my heart
0,uhhh cant sleep someone like n ill text u my phones dry ass fuck atomic number am a boring person
1,having to be up in four hours sounds great
0,alan juventino i dont blame you center bro if i was married to claudiaromani i too would support milan smiling face with smiling eyes http t co atrr zeie
0,forever young forever out forever in our hearts rip phillipjoelhughes vcricketau cricketaus
1,i just love the nhs
1,i love my customers annoying stoptalking
0,ninawmakeup a chance till january this is so good you always make me smiling
0,on humanrightsday manchester takes first steps towards independence https t co ni wsfmbc the storm antifrackingsco notonwwell
1,what great a person you are
0,justacoolcat i just texted you now im going to sleep not ignoring
1,thanks for shutting the city down
0,girl beautiful short nose tall but toshort selfieeee http t co bh
1,am conference league calls love
1,youre such a great person
0,then batoolmisbah lol mughalowowais
0,godisalivenrock ao langshughes unresolved the greatest unsolved mystery god
0,ajb shouldnt yous be in school
1,knowing coming to school love i have tests all day
1,i love not being able to sleep right now
1,glad to know my friends are supportive
1,people best dont get you are the who
1,oh and balmy a positively its c
1,another great clarence shepard day jr on the ttc
1,why does sue open bonnie anxiety and stress pills
0,xmas on the blog feat intimissimiofficial and calzedonia read our story and share the love heavy black heart click the link http t co flwpj pohn
